name;static_instructions;dynamic_instructions
extr_linuxdriversnetwirelessrealtekrtl8192cucorertw_security.c_secmicclear.c;7;7
extr_linuxdriversgpudrmamddisplaydcvirtualvirtual_link_encoder.c_virtual_link_encoder_construct.c;17;17
extr_linuxdriversstagingrtl8723bshalHalPhyRf_8723B.c_ConfigureTxpowerTrack_8723B.c;21;21
extr_mongooseexamplesESP8266_RTOSusermongoose.c_cs_base64_init.c;4;4
extr_linuxarchpowerpcplatformscellspufsswitch.c_init_priv1.c;18;18
extr_opensslcryptoconfconf_lib.c_CONF_set_default_method.c;3;3
extr_mpvplayersub.c_get_order.c;4;4
extr_emscriptensystemlibpthreadlibrary_pthread_stub.c_emscripten_atomic_exchange_u8.c;3;3
extr_linuxdriversstagingrtl8723bshalodm.c_odm_RSSIMonitorInit.c;2;2
extr_linuxdriversmediausbstkwebcamstk-webcam.c_stk_v4l_vm_close.c;4;4
extr_gitsha1dcubc_check.c_ubc_check.c;2;2
extr_ijkplayerijkmediaijksdlandroidijksdl_codec_android_mediaformat_java.c_setup_aformat.c;11;11
extr_linuxdriversstaginggreybuspower_supply.c_get_psp_from_gb_prop.c;8;8
extr_linuxsoundpciau88x0au88x0_a3d.c_snd_vortex_a3d_hrtf_info.c;6;6
extr_xhyvesrcpci_e82545.c_e82545_rx_enable.c;2;2
extr_kittykittyline-buf.c_linebuf_index.c;3;3
extr_radare2librasmarchxtensagnuxtensa-modules.c_Opcode_s32c1i_Slot_inst_encode.c;2;2
extr_linuxarchx86kvmvmx.c_handle_external_interrupt.c;3;3
extr_jqsrcjv_alloc.c_jv_nomem_handler.c;3;3
extr_hashcatsrcmodulesmodule_00900.c_module_init.c;86;86
extr_anypixelfirmwaredisplayThirdPartySPLsrcstm32f0xx_tim.c_TI2_Config.c;23;23
extr_linuxkerneleventshw_breakpoint.c_hw_breakpoint_copy_attr.c;9;9
extr_anypixelfirmwarecontrollerThirdPartylwip-1.4.1srccorepbuf.c_pbuf_clen.c;9;9
extr_linuxdriversnetwirelessrealtekrtlwifirtl8723ae..wifi.h_set_hal_start.c;3;3
extr_darwin-xnubsddevmunge.c_munge_wwws.c;10;10
extr_radare2librasmarchxtensagnuxtensa-modules.c_Opcode_wsr_misc2_Slot_inst_encode.c;2;2
extr_linuxarchpowerpckerneltraps.c_emulate_popcntb_inst.c;26;26
extr_linuxtoolsperfuibrowsers....utilordered-events.h_ordered_events__set_copy_on_queue.c;2;2
extr_FFmpeglibavcodecmlpenc.c_copy_matrix_params.c;15;15
extr_ijkplayerijkmediaijkplayerpipeline..ff_ffplay_def.h_ffp_reset_demux_cache_control.c;14;14
extr_linuxdriversnetethernetinteligbvfmbx.c_e1000_init_mbx_params_vf.c;25;25
extr_linuxdriversphymotorolaphy-cpcap-usb.c_cpcap_usb_phy_set_host.c;5;5
extr_linuxdriversinfinibandhwhfi1hfi.h_incr_cntr32.c;6;6
extr_linuxsoundisasbsb16_csp.c_snd_sb_qsound_space_info.c;8;8
extr_linuxnetcoredev.c_netdev_set_default_ethtool_ops.c;3;3
extr_php-srcextpcrepcre2libsljitsljitNativeTILEGX_64.c_get_any_valid_pipe.c;10;10
extr_rufussrcsyslinuxlibfatulint.h_write32.c;2;2
extr_reactosbootfreeldrfreeldrlibinffileinffile.c_set_state.c;3;3
extr_kphp-kdbpmemcachedpmemcached-data.c_get_hash.c;13;1537
extr_linuxdriversnetethernetsfcfalconnic.c_ef4_nic_fix_nodesc_drop_stat.c;16;16
extr_linuxdriversdmacoh901318.c_coh901318_get_bytes_in_lli.c;12;12
extr_linuxdriverspwmcore.c_pwm_set_chip_data.c;5;5
extr_linuxdriversphyqualcommphy-qcom-ufs-qmp-14nm.c_ufs_qcom_phy_qmp_14nm_advertise_quirks.c;3;3
extr_kphp-kdbnetnet-mysql-client.c_sqlc_connected.c;4;4
extr_radare2librasmarchppclibvlevle.c_set_ppc_fields.c;8;8
extr_emscriptensystemlibpthreadlibrary_pthread_stub.c_emscripten_atomic_cas_u16.c;4;4
extr_darwin-xnuosfmkcorecryptoccdbrgsrcccdrbg_nisthmac.c_ccdrbg_factory_nisthmac.c;11;11
extr_linuxdriversscsibfabfad_im.c_bfad_im_slave_destroy.c;2;2
extr_linuxdriversnetwirelessathath5kmac80211-ops.c_ath5k_get_antenna.c;7;7
extr_reactosdlldirectxwined3dcompiler_43d3dcompiler_private.h_set_parse_status.c;5;5
extr_BGAQRCode-Androidzbarsrcmainjnilibiconv-1.15libmac_cyrillic.h_mac_cyrillic_wctomb.c;28;28
extr_linuxdriversstagingcomedidriversamplc_pc236_common.c_pc236_intr_insn.c;3;3
extr_linuxsoundsocintelbaytrailsst-baytrail-ipc.c_sst_byt_stream_type.c;6;6
extr_kphp-kdbstatsxstatsx-data.c_serialize_list2a_raw.c;22;2567
extr_micropythonportsteensycoremk20dx128.c__close.c;2;2
extr_linuxdriversscsicsiostorcsio_lnode.c_csio_scan_done.c;4;4
extr_linuxdriversmtdnandrawnand_base.c_nand_op_parser_must_split_instr.c;8;8
extr_zstdprogramsfileio.c_FIO_setAdaptMax.c;2;2
extr_php-srcsapifpmfpmfpm_scoreboard.c_fpm_scoreboard_proc_release.c;4;4
extr_radare2librasmarchxtensagnuxtensa-modules.c_Operand_uimm8x2_encode.c;6;6
extr_linuxfsext4mballoc.c_mb_set_largest_free_order.c;5;5
extr_linuxsoundpciechoaudioechoaudio_dsp.c_check_asic_status.c;3;3
extr_linuxdriversgpudrmamdpowerplayhwmgrvega10_hwmgr.c_vega10_set_default_registry_data.c;77;77
extr_tenginemodulesngx_http_lua_modulesrcngx_http_lua_capturefilter.c_ngx_http_lua_capture_filter_init.c;10;10
extr_libuvsrcuv-common.c_uv_stop.c;2;2
extr_darwin-xnubsdkernuipc_socket2.c_soreserve_preconnect.c;3;3
extr_micropythonportsstm32usbhostClassMTPSrcusbh_mtp.c_MTP_FindCtlEndpoint.c;6;6
extr_linuxdriversnetethernetmellanoxmlxswspectrum_mr.c_mlxsw_sp_mr_dev_vif_lookup.c;4;4
extr_linuxdriversinfinibandhwqibqib_iba7322.c_qib_7322_sdma_init_early.c;3;3
extr_php-srcZendzend_inheritance.c_zend_verify_abstract_class_function.c;4;4
extr_masscansrccrypto-base64.c_r_rand.c;6;6
extr_nginxsrchttpmodulesngx_http_gunzip_filter_module.c_ngx_http_gunzip_filter_init.c;10;10
extr_netdatatestsprofilebenchmark-line-parsing.c_fast_strtoull.c;6;6
extr_darwin-xnubsdnetcontent_filter.c_fill_cfil_hash_entry_from_inp.c;12;12
extr_nginxsrccorengx_array.c_ngx_array_destroy.c;14;14
extr_linuxfsbtrfsextent_io.h_extent_set_compress_type.c;5;5
extr_obs-studiolibobsutildstr.c_astrcmp_n.c;22;22
extr_emscriptensystemlibhtml5dom_pk_codes.c_emscripten_compute_dom_pk_code.c;40;616
extr_linuxdriversmediaradiowl128xfmdrv_rx.c_fm_rx_get_region.c;3;3
extr_labq3map2q3map2brush.c_CountBrushList.c;9;9
extr_linuxdriversnetwirelessathath9krecv.c_ath9k_apply_ampdu_details.c;14;14
extr_BGAQRCode-Androidzbarsrcmainjnilibiconv-1.15libutf32.h_utf32_wctomb.c;20;20
extr_opensslcryptoevpevp_lib.c_EVP_CIPHER_CTX_set_flags.c;2;2
extr_openpilotpandaboarddriverstimer.h_timer_init.c;8;8
extr_radare2librcorepanels.c_savePanelPos.c;4;4
extr_linuxdriverscharipmiipmi_si_intf.c_current_global_enables.c;25;25
extr_kphp-kdbcommonutf8_utils.c_string_to_utf8.c;19;23
extr_zstdliblegacyzstd_v02.c_FSE_buildDTable_rle.c;7;7
extr_linuxarchx86cryptosha512-mbsha512_mb.c_req_ctx_init.c;3;3
extr_linuxipcmqueue.c_mq_clear_sbinfo.c;4;4
extr_libuvsrcunixos390.c_uv_loadavg.c;4;4
extr_linuxfsnfsdnfs4state.c_opaque_hashval.c;14;1792
extr_linuxdriversscsivmw_pvscsi.c_pvscsi_find_context.c;5;5
extr_BGAQRCode-Androidzbarsrcmainjnilibiconv-1.15libkoi8_ru.h_koi8_ru_wctomb.c;28;28
extr_linuxfscifssmbencrypt.c_str_to_key.c;54;82
extr_micropythondriverscc3100srcnonos.c__SlNonOsSemSet.c;3;3
extr_darwin-xnuosfmki386cpu_threads.c_x86_cache_free.c;10;10
extr_linuxdriversnetwirelessinteliwlwifimvmscan.c_iwl_mvm_scan_uid_by_status.c;5;5
extr_FFmpeglibavdevicepulse_audio_enc.c_pulse_map_channels_to_pulse.c;52;52
extr_linuxnetmac80211wpa.c_ieee80211_crypto_cs_pn_compare.c;13;13
